version,caseid,profile_gender,profile_age,profile_racethnicity,profile_educ5,profile_marital,profile_employ,profile_income,profile_state,profile_region4,profile_region9,profile_metro,profile_internet,profile_housing,profile_home_type,profile_phoneservice,profile_hhsize,profile_hh01,profile_hh25,profile_hh612,profile_hh1317,profile_hh18ov,profile_genhealth,profile_veteran,profile_lgbt,profile_relig,profile_born,profile_lang_other1,profile_newstv,profile_newsradio,profile_newsonline,profile_newsmobile,profile_newskeepup,profile_socmedia1_t,profile_socmedia1_f,profile_socmedia1_i,profile_socmedia1_s,profile_socmedia2_t,profile_socmedia2_f,profile_socmedia2_i,profile_socmedia2_s,profile_hl032,w1congdist,w2congdist,vote20d1
ANES 2020-22 Social Media Study 20230705,1,2,35,4,2,1,4,5,TX,3,7,1,0,1,4,4,6,0,0,0,4,3,2,2,3,2,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,TX - Congressional District 28,TX - Congressional District 28,2
ANES 2020-22 Social Media Study 20230705,2,2,27,1,5,5,1,1,FL,3,5,1,1,1,1,2,1,0,0,0,0,1,2,2,2,9,-1,2,1,2,2,2,2,2,1,1,2,-1,1,1,-1,1,FL - Congressional District 17,FL - Congressional District 17,2
ANES 2020-22 Social Media Study 20230705,3,1,55,1,4,1,1,13,DE,3,5,1,1,1,1,2,4,0,0,0,0,4,4,2,2,2,2,2,1,1,1,1,2,2,1,2,2,-1,1,-1,-1,1,DE - Congressional District (at Large),DE - Congressional District (at Large),2
ANES 2020-22 Social Media Study 20230705,4,2,33,2,4,5,1,9,TX,3,7,1,1,2,3,4,1,0,0,0,0,1,3,2,2,12,1,2,2,2,1,1,3,2,1,1,1,-1,1,1,1,1,TX - Congressional District 7,TX - Congressional District 7,2
ANES 2020-22 Social Media Study 20230705,5,2,46,2,5,3,2,5,OH,2,3,1,1,1,1,4,1,0,0,0,0,1,3,2,2,1,2,2,2,2,2,2,4,1,1,1,1,1,1,1,2,1,CA - Congressional District 20,CA - Congressional District 20,1
ANES 2020-22 Social Media Study 20230705,6,1,30,2,4,6,1,12,AZ,4,8,1,1,2,3,4,4,0,0,1,0,3,4,2,2,2,1,2,2,2,2,2,2,1,1,1,1,2,2,1,1,2,AZ - Congressional District 9,AZ - Congressional District 9,2
ANES 2020-22 Social Media Study 20230705,7,2,67,1,2,5,6,5,KY,3,6,1,0,2,3,4,1,0,0,0,0,1,2,2,2,10,-1,2,2,2,-7,2,4,2,2,2,2,-1,-1,-1,-1,1,KY - Congressional District 4,KY - Congressional District 4,2
ANES 2020-22 Social Media Study 20230705,8,1,53,1,4,5,1,17,NY,1,2,1,1,1,3,4,1,0,0,0,0,1,2,2,2,14,-1,2,1,2,2,1,1,2,1,2,2,-1,2,-1,-1,1,NY - Congressional District 12,NY - Congressional District 12,1
ANES 2020-22 Social Media Study 20230705,9,1,19,4,1,1,1,14,LA,3,7,1,1,1,1,2,6,0,0,0,1,4,3,2,2,1,1,2,2,1,1,1,2,1,1,1,1,2,2,1,1,1,LA - Congressional District 3,LA - Congressional District 3,1
ANES 2020-22 Social Media Study 20230705,10,1,64,2,2,2,1,13,OK,3,7,1,1,1,1,2,3,0,0,2,0,1,4,1,2,1,2,2,1,2,1,1,2,2,2,2,2,-1,-1,-1,-1,1,OK - Congressional District 1,OK - Congressional District 1,2
ANES 2020-22 Social Media Study 20230705,11,2,63,1,2,3,5,3,IN,2,3,1,1,1,1,4,1,0,0,0,0,1,3,2,2,1,1,2,2,2,2,1,2,2,1,2,2,-1,1,-1,-1,1,IN - Congressional District 6,IN - Congressional District 6,1
ANES 2020-22 Social Media Study 20230705,12,1,72,1,4,1,5,12,TX,3,7,1,1,1,1,2,5,0,0,2,0,3,2,1,2,1,1,2,1,2,1,2,1,2,2,2,2,-1,-1,-1,-1,1,TX - Congressional District 15,TX - Congressional District 15,1
ANES 2020-22 Social Media Study 20230705,13,1,52,1,5,1,1,16,NJ,1,2,1,1,1,1,3,2,0,0,0,0,2,5,2,2,2,2,2,2,1,1,2,2,2,1,2,2,-1,2,-1,-1,1,NJ - Congressional District 1,NJ - Congressional District 1,1
ANES 2020-22 Social Media Study 20230705,14,2,31,2,5,6,1,15,GA,3,5,1,1,1,2,4,3,0,0,1,0,2,4,2,2,1,1,2,2,2,1,1,3,1,1,1,1,2,1,1,1,1,GA - Congressional District 5,GA - Congressional District 5,2
ANES 2020-22 Social Media Study 20230705,15,1,34,1,4,1,1,7,MI,2,3,0,1,2,1,4,5,0,1,2,0,2,3,2,2,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,2,1,MI - Congressional District 6,-6,1
ANES 2020-22 Social Media Study 20230705,16,2,66,1,3,2,6,10,FL,3,5,1,1,2,1,2,2,0,0,0,0,2,5,2,1,2,2,2,2,2,2,2,4,2,2,2,2,-1,-1,-1,-1,1,FL - Congressional District 9,FL - Congressional District 9,2
ANES 2020-22 Social Media Study 20230705,17,1,49,3,4,1,1,9,CA,4,9,1,1,1,1,1,4,0,0,0,2,2,4,1,2,2,2,1,2,2,2,1,3,2,2,2,2,-1,-1,-1,-1,1,CA - Congressional District 50,CA - Congressional District 50,1
ANES 2020-22 Social Media Study 20230705,18,2,26,1,3,1,7,11,WY,4,8,1,1,2,3,4,3,0,1,0,0,2,5,2,3,1,1,2,2,1,1,1,3,2,1,1,1,-1,1,1,1,1,WY - Congressional District (at Large),WY - Congressional District (at Large),2
ANES 2020-22 Social Media Study 20230705,19,2,63,1,4,3,5,10,NJ,1,2,1,1,1,1,3,1,0,0,0,0,1,3,2,2,2,2,2,1,2,1,1,2,2,2,2,2,-1,-1,-1,-1,1,NJ - Congressional District 3,NJ - Congressional District 3,2
ANES 2020-22 Social Media Study 20230705,20,1,37,1,2,1,1,15,MO,2,4,1,1,1,1,2,4,0,0,2,0,2,3,2,2,1,1,2,1,1,2,1,2,2,1,2,2,-1,1,-1,-1,1,MO - Congressional District 4,MO - Congressional District 4,1
ANES 2020-22 Social Media Study 20230705,21,2,54,1,3,1,1,15,MN,2,4,1,1,1,1,2,2,0,0,0,0,2,4,2,2,9,-1,2,2,2,1,1,2,2,1,2,2,-1,1,-1,-1,1,MN - Congressional District 1,MN - Congressional District 1,2
ANES 2020-22 Social Media Study 20230705,22,1,47,1,3,5,1,8,WA,4,9,0,1,2,3,4,1,0,0,0,0,1,3,2,4,12,2,2,2,1,1,2,2,2,2,2,2,-1,-1,-1,-1,2,WA - Congressional District 3,WA - Congressional District 3,1
ANES 2020-22 Social Media Study 20230705,23,2,40,1,4,6,2,8,NY,1,2,1,1,1,1,4,3,0,1,0,0,2,4,2,3,9,-1,2,2,2,1,1,3,2,1,1,2,-1,1,1,-1,1,NY - Congressional District 23,NY - Congressional District 23,2
ANES 2020-22 Social Media Study 20230705,24,2,79,2,5,1,2,14,TX,3,7,1,1,2,3,4,2,0,0,0,0,2,3,2,2,1,2,2,1,1,1,1,1,2,2,2,2,-1,-1,-1,-1,1,TX - Congressional District 6,TX - Congressional District 6,2
ANES 2020-22 Social Media Study 20230705,25,1,74,1,3,1,5,10,MI,2,3,0,1,1,1,4,2,0,0,0,0,2,4,2,2,1,1,2,1,1,1,1,1,2,2,2,2,-1,-1,-1,-1,1,MI - Congressional District 1,-6,1
ANES 2020-22 Social Media Study 20230705,26,1,74,1,3,6,1,8,NV,4,8,1,1,1,3,4,2,0,0,0,0,2,3,1,2,14,-1,1,2,1,1,1,1,2,1,2,2,-1,1,-1,-1,1,NV - Congressional District 1,NV - Congressional District 1,2
ANES 2020-22 Social Media Study 20230705,27,1,62,1,4,1,5,15,OR,4,9,1,1,1,1,4,2,0,0,0,0,2,5,2,2,11,-1,2,1,1,1,1,2,1,1,2,2,2,2,-1,-1,1,OR - Congressional District 2,OR - Congressional District 2,2
ANES 2020-22 Social Media Study 20230705,28,2,41,3,4,5,4,11,FL,3,5,1,1,2,2,4,2,0,0,0,0,2,4,2,2,11,-1,2,2,2,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,FL - Congressional District 7,FL - Congressional District 7,2
